# x_m,y_m,w_tr_right_m,w_tr_left_m
11.9500,-61.0000,0.8062,0.8062
12.2000,-59.9500,0.7618,0.7618
12.3500,-58.9000,0.7552,0.7552
12.5000,-57.8500,0.8050,0.8050
12.4500,-56.8000,0.7513,0.7513
12.3000,-55.7500,0.7487,0.7487
12.1000,-54.7000,0.8062,0.8062
11.8000,-53.6500,0.8198,0.8198
11.3500,-52.6000,0.8296,0.8296
10.9500,-51.5500,0.8124,0.8124
10.5500,-50.5000,0.7862,0.7862
10.0500,-49.4500,0.8296,0.8296
9.6000,-48.4000,0.7849,0.7849
9.2000,-47.3500,0.8062,0.8062
8.7000,-46.3000,0.8124,0.8124
8.2500,-45.2500,0.7962,0.7962
7.8500,-44.2000,0.8124,0.8124
7.3500,-43.1500,0.8062,0.8062
6.9000,-42.1000,0.8062,0.8062
6.5000,-41.0500,0.7962,0.7962
6.0500,-40.0000,0.8124,0.8124
5.6000,-38.9500,0.8308,0.8308
5.1500,-37.9000,0.8124,0.8124
4.7500,-36.8500,0.8198,0.8198
4.4000,-35.8000,0.8512,0.8512
4.1000,-34.7500,0.8198,0.8198
3.9000,-33.7000,0.7708,0.7708
3.6000,-32.6500,0.8124,0.8124
3.3500,-31.6000,0.8000,0.8000
3.1500,-30.5500,0.8000,0.8000
3.0500,-29.5000,0.8500,0.8500
2.9000,-28.4500,0.8012,0.8012
2.7500,-27.4000,0.8500,0.8500
2.6500,-26.3500,0.8050,0.8050
2.4500,-25.3000,0.7708,0.7708
2.4000,-24.2500,0.8308,0.8308
2.2500,-23.2000,0.8050,0.8050
2.1000,-22.1500,0.7962,0.7962
2.0000,-21.1000,0.8198,0.8198
1.8500,-20.0500,0.8112,0.8112
1.7000,-19.0000,0.8124,0.8124
1.6000,-17.9500,0.8012,0.8012
1.5500,-16.9000,0.8000,0.8000
1.6000,-15.8500,0.7552,0.7552
2.1500,-15.0500,0.7618,0.7618
3.2000,-14.9000,0.8000,0.8000
4.2500,-14.9500,0.8112,0.8112
5.3000,-14.8000,0.7394,0.7394
5.9500,-13.9000,0.6860,0.6860
5.9000,-12.8500,0.8062,0.8062
5.2500,-11.8000,0.8296,0.8296
4.5500,-10.7500,0.8296,0.8296
3.9000,-9.7000,0.8124,0.8124
3.2000,-8.6500,0.8124,0.8124
2.5000,-7.6000,0.8000,0.8000
1.8500,-6.6000,0.8000,0.8000
1.2500,-5.6000,0.8296,0.8296
0.5500,-4.5500,0.8296,0.8296
-0.1500,-3.5000,0.7849,0.7849
-0.7500,-2.5000,0.8296,0.8296
-1.4500,-1.4500,0.8308,0.8308
-2.1000,-0.4000,0.8404,0.8404
-2.7500,0.6500,0.8000,0.8000
-3.4500,1.7000,0.8000,0.8000
-4.1000,2.7000,0.8124,0.8124
-4.8000,3.7500,0.8000,0.8000
-5.4500,4.8000,0.8062,0.8062
-6.1000,5.8500,0.8259,0.8259
-6.7500,6.8500,0.8062,0.8062
-7.4000,7.9000,0.8124,0.8124
-8.1000,8.9500,0.8000,0.8000
-8.7500,10.0000,0.8308,0.8308
-9.4500,11.0500,0.7862,0.7862
-10.0500,12.0500,0.8296,0.8296
-10.7500,13.1000,0.8124,0.8124
-11.4000,14.1500,0.8296,0.8296
-12.0500,15.2000,0.8296,0.8296
-12.7000,16.2000,0.8062,0.8062
-13.3500,17.2000,0.8062,0.8062
-14.0000,18.2500,0.8296,0.8296
-14.7000,19.3000,0.8124,0.8124
-15.3500,20.3500,0.8296,0.8296
-16.0000,21.4000,0.8308,0.8308
-16.6000,22.4000,0.8000,0.8000
-17.2500,23.4000,0.8296,0.8296
-17.4000,24.4500,0.7500,0.7500
-17.0500,25.5000,0.7899,0.7899
-16.0000,25.7500,0.7124,0.7124
-14.9500,25.5000,0.8124,0.8124
-13.9000,25.0500,0.8124,0.8124
-12.8500,24.5500,0.8198,0.8198
-11.8000,24.1000,0.7849,0.7849
-10.7500,23.7000,0.8296,0.8296
-9.7000,23.2500,0.8124,0.8124
-8.6500,22.8500,0.8062,0.8062
-7.6000,22.3500,0.8124,0.8124
-6.5500,21.8500,0.8296,0.8296
-5.5000,21.3500,0.8308,0.8308
-4.4500,20.8500,0.8296,0.8296
-3.4000,20.3000,0.8296,0.8296
-2.3500,19.7000,0.8308,0.8308
-1.3000,19.0500,0.8062,0.8062
-0.2500,18.4000,0.8308,0.8308
0.8000,17.7000,0.8000,0.8000
1.8500,16.9500,0.8000,0.8000
2.9000,16.2000,0.8124,0.8124
3.9000,15.5000,0.8259,0.8259
4.9500,14.7000,0.8124,0.8124
6.0000,13.8500,0.8259,0.8259
7.0500,12.8000,0.8259,0.8259
7.9500,11.8500,0.8512,0.8512
8.9500,10.9000,0.8259,0.8259
9.8500,9.9000,0.8259,0.8259
10.8000,8.9000,0.8259,0.8259
11.8000,7.8500,0.8259,0.8259
12.7500,6.8500,0.8124,0.8124
13.7000,5.8500,0.8259,0.8259
14.6500,4.8500,0.8259,0.8259
15.6000,3.8000,0.8308,0.8308
16.6000,2.8000,0.8000,0.8000
17.5500,1.7500,0.8512,0.8512
18.5000,0.7500,0.8124,0.8124
19.4500,-0.2500,0.8512,0.8512
20.3500,-1.2500,0.8124,0.8124
21.3000,-2.1500,0.8000,0.8000
22.2000,-3.1500,0.8259,0.8259
23.1000,-4.0500,0.8404,0.8404
24.1500,-4.9500,0.8259,0.8259
25.2000,-5.5500,0.7849,0.7849
26.2500,-6.1000,0.8308,0.8308
27.3000,-6.7000,0.8124,0.8124
28.3500,-7.3000,0.7618,0.7618
29.4000,-8.0000,0.8062,0.8062
30.3000,-8.9500,0.8308,0.8308
31.0500,-10.0000,0.7862,0.7862
31.6500,-11.0500,0.8062,0.8062
32.1500,-12.1000,0.7849,0.7849
32.6000,-13.1500,0.8440,0.8440
32.9000,-14.2000,0.8124,0.8124
33.1500,-15.2500,0.8050,0.8050
33.3500,-16.3000,0.8308,0.8308
33.5500,-17.3500,0.8198,0.8198
33.8000,-18.4000,0.7962,0.7962
34.2500,-19.4500,0.8296,0.8296
34.8000,-20.5000,0.8000,0.8000
35.5000,-21.5000,0.8259,0.8259
36.2500,-22.5500,0.8124,0.8124
37.0000,-23.5500,0.8259,0.8259
37.7000,-24.5500,0.8308,0.8308
38.4500,-25.6000,0.8124,0.8124
39.2000,-26.6500,0.8259,0.8259
39.9500,-27.7000,0.8259,0.8259
40.7000,-28.7500,0.8308,0.8308
41.5000,-29.8000,0.8062,0.8062
42.1500,-30.7500,0.7925,0.7925
42.9000,-31.8000,0.8404,0.8404
43.6500,-32.8000,0.8062,0.8062
44.3500,-33.8500,0.8000,0.8000
45.1000,-34.8500,0.8124,0.8124
45.8500,-35.9000,0.8259,0.8259
46.6000,-36.9500,0.8000,0.8000
47.3000,-37.9500,0.7708,0.7708
47.8500,-39.0000,0.8124,0.8124
48.4500,-40.0500,0.8296,0.8296
48.9500,-41.1000,0.8296,0.8296
49.3500,-42.1500,0.7849,0.7849
49.7500,-43.2000,0.7849,0.7849
50.1500,-44.2500,0.8308,0.8308
50.5500,-45.3000,0.8308,0.8308
50.9000,-46.3500,0.8308,0.8308
51.2500,-47.4000,0.7962,0.7962
51.6000,-48.4500,0.8062,0.8062
52.0000,-49.5000,0.8308,0.8308
52.3500,-50.5500,0.8198,0.8198
52.7500,-51.6000,0.8124,0.8124
53.1000,-52.6500,0.8124,0.8124
53.4500,-53.7000,0.7849,0.7849
53.8500,-54.7500,0.8198,0.8198
54.1500,-55.8000,0.7823,0.7823
54.5500,-56.8500,0.8308,0.8308
54.9500,-57.9000,0.8296,0.8296
55.3000,-58.9500,0.8308,0.8308
55.6500,-60.0000,0.7962,0.7962
56.0000,-61.0500,0.8062,0.8062
56.3500,-62.1000,0.8062,0.8062
56.7500,-63.1500,0.8198,0.8198
57.1500,-64.2000,0.8124,0.8124
57.5000,-65.2500,0.8124,0.8124
57.8500,-66.3000,0.8062,0.8062
58.2000,-67.3500,0.7962,0.7962
58.5500,-68.4000,0.8062,0.8062
58.9500,-69.4500,0.8308,0.8308
59.3500,-70.5000,0.8308,0.8308
59.7000,-71.5500,0.8308,0.8308
60.0500,-72.6000,0.8124,0.8124
60.4500,-73.6500,0.8124,0.8124
60.8000,-74.7000,0.8112,0.8112
61.1500,-75.7500,0.8296,0.8296
61.5500,-76.8000,0.8124,0.8124
61.9000,-77.8500,0.8124,0.8124
62.2500,-78.9000,0.8198,0.8198
